frame,status,foot_space_x,foot_space_y,foot_cx,foot_cy,foot_area,hand_space_x,hand_space_y,hand_space_z,hand_cx,hand_cy,hand_area,hand_to_foot_dx,hand_to_foot_dy,hand_to_foot_dz,hand_to_foot_distance_2d,hand_to_foot_distance_3d,red_candidates
103,ok,51.81,39.09,978.14,876.77,1661,52.63,-352.78,3.8077,1031.90,169.90,1753,0.82,-391.87,3.8077,391.87,391.89,2
104,ok,51.84,38.73,978.26,877.00,1660,52.61,-352.31,3.8107,1031.09,168.98,1746,0.77,-391.04,3.8107,391.04,391.06,2
105,ok,51.87,38.43,978.29,877.20,1640,52.57,-351.88,3.8135,1030.73,168.08,1744,0.70,-390.31,3.8135,390.31,390.33,2
106,ok,51.91,38.20,978.78,876.96,1649,52.52,-351.49,3.8161,1030.73,167.22,1776,0.61,-389.69,3.8161,389.69,389.71,2
107,ok,51.95,38.03,979.02,877.07,1642,52.44,-351.13,3.8184,1030.98,166.19,1808,0.49,-389.16,3.8184,389.16,389.18,2
108,ok,51.99,37.91,979.16,877.25,1604,52.34,-350.81,3.8204,1031.53,165.94,1847,0.35,-388.72,3.8204,388.72,388.74,2
109,ok,52.05,37.85,980.35,877.21,1600,52.22,-350.53,3.8221,1032.51,165.81,1929,0.17,-388.38,3.8221,388.38,388.40,2
110,ok,52.11,37.83,980.86,877.68,1547,52.07,-350.28,3.8236,1034.01,166.98,1947,-0.04,-388.11,3.8236,388.11,388.13,2
111,ok,52.18,37.84,981.83,877.31,1556,51.90,-350.08,3.8248,1034.44,167.73,2003,-0.28,-387.92,3.8248,387.92,387.94,2
112,ok,52.26,37.89,982.33,877.56,1542,51.71,-349.90,3.8258,1036.85,169.53,2027,-0.55,-387.79,3.8258,387.79,387.81,2
113,ok,52.36,37.95,982.44,877.98,1542,51.50,-349.75,3.8266,1038.45,169.82,1991,-0.86,-387.70,3.8266,387.70,387.72,2
114,ok,52.47,38.03,982.84,878.30,1504,51.26,-349.64,3.8271,1041.37,170.80,2026,-1.21,-387.67,3.8271,387.67,387.69,2
115,ok,52.60,38.12,982.88,878.39,1508,50.99,-349.55,3.8274,1045.12,170.51,2051,-1.61,-387.67,3.8274,387.67,387.69,2
116,ok,52.75,38.21,983.09,878.12,1515,50.70,-349.48,3.8276,1048.97,169.69,2073,-2.05,-387.69,3.8276,387.70,387.71,2
117,ok,52.92,38.30,983.22,877.77,1550,50.39,-349.44,3.8275,1052.63,168.38,2107,-2.53,-387.74,3.8275,387.75,387.77,2
118,ok,53.12,38.39,982.61,877.61,1538,50.06,-349.43,3.8273,1056.09,167.75,2129,-3.06,-387.82,3.8273,387.83,387.85,3
119,ok,53.35,38.48,982.93,877.28,1564,49.71,-349.45,3.8268,1059.94,166.68,2111,-3.64,-387.93,3.8268,387.95,387.97,2
120,ok,53.61,38.57,982.87,877.45,1573,49.33,-349.50,3.8261,1063.97,166.28,2078,-4.28,-388.07,3.8261,388.09,388.11,3
121,ok,53.90,38.66,982.94,877.28,1591,48.94,-349.58,3.8252,1068.40,166.12,2027,-4.96,-388.24,3.8252,388.27,388.29,2
122,ok,54.23,38.75,983.09,877.08,1583,48.52,-349.68,3.8241,1073.11,166.29,2005,-5.71,-388.43,3.8241,388.47,388.49,2
123,ok,54.58,38.84,983.14,877.10,1579,48.08,-349.81,3.8228,1078.04,167.14,1961,-6.50,-388.65,3.8228,388.70,388.72,2
124,ok,54.98,38.93,983.12,876.90,1584,47.63,-349.97,3.8213,1082.78,167.96,1922,-7.35,-388.90,3.8213,388.97,388.99,2
125,ok,55.40,39.01,983.42,876.78,1581,47.16,-350.14,3.8196,1087.88,169.03,1912,-8.24,-389.15,3.8196,389.24,389.26,2
126,ok,55.86,39.09,983.57,876.65,1600,46.67,-350.33,3.8179,1093.40,170.34,1852,-9.19,-389.42,3.8179,389.53,389.55,2
127,ok,56.36,39.16,983.73,876.33,1595,46.17,-350.53,3.8160,1099.21,171.41,1837,-10.19,-389.69,3.8160,389.82,389.84,2
128,ok,56.88,39.22,984.61,876.14,1571,45.65,-350.75,3.8140,1104.82,172.72,1765,-11.23,-389.97,3.8140,390.13,390.15,2
129,ok,57.44,39.27,985.26,875.68,1575,45.12,-350.97,3.8120,1110.93,174.27,1686,-12.32,-390.24,3.8120,390.43,390.45,2
130,ok,58.02,39.31,986.15,875.12,1573,44.57,-351.19,3.8099,1116.66,175.34,1636,-13.45,-390.50,3.8099,390.73,390.75,2
131,ok,58.65,39.34,989.11,873.51,1595,44.01,-351.42,3.8078,1122.80,175.63,1601,-14.64,-390.76,3.8078,391.03,391.05,2
132,ok,59.30,39.36,991.44,871.45,1575,43.44,-351.65,3.8057,1128.21,175.15,1559,-15.86,-391.01,3.8057,391.33,391.35,2
133,ok,59.98,39.36,995.74,868.39,1595,42.86,-351.87,3.8036,1134.02,174.19,1519,-17.12,-391.23,3.8036,391.60,391.62,2
134,ok,60.69,39.34,1001.32,864.92,1642,42.27,-352.10,3.8015,1139.99,174.05,1499,-18.42,-391.44,3.8015,391.87,391.89,2
