frame,color,cx,cy,space_x,space_y,space_z,x,y,w,h,area
42,blue,1668.22,981.16,100.46,2.93,-20.04,1661,969,15,24,332
43,red,1024.50,235.05,55.54,-404.16,352.18,993,206,62,60,1239
43,red,225.45,771.86,-39.82,96.41,100.52,218,751,17,42,597
43,red,1001.31,793.86,53.27,83.38,79.86,980,779,41,35,1070
43,blue,563.11,769.32,0.09,100.08,97.44,554,758,20,22,360
43,blue,1395.99,773.89,100.11,100.28,84.56,1386,762,22,23,419
43,blue,231.14,966.97,-0.79,3.07,5.26,224,955,16,23,325
43,blue,1668.30,981.17,100.46,2.93,-20.05,1661,969,15,24,329
44,red,1021.83,235.12,55.90,-404.23,352.18,990,206,62,60,1313
44,red,225.46,771.66,-39.88,96.57,100.61,218,751,17,41,591
44,red,1000.98,793.81,53.23,83.42,79.89,980,778,41,36,1074
44,blue,563.27,769.38,0.12,100.03,97.40,554,758,22,22,367
44,blue,1395.75,773.89,100.09,100.28,84.56,1385,762,23,23,422
44,blue,231.12,966.87,-0.80,3.10,5.31,224,955,16,23,328
44,blue,1668.24,981.12,100.46,2.94,-20.02,1661,969,15,24,332
45,red,1018.77,236.26,56.33,-405.44,351.66,987,207,62,61,1333
45,red,225.35,771.90,-39.82,96.38,100.50,218,751,17,42,588
45,red,1000.26,793.79,53.15,83.42,79.91,979,778,41,36,1064
45,blue,562.99,769.37,0.09,100.04,97.41,554,758,20,22,364
45,blue,1395.35,773.93,100.03,100.25,84.55,1385,762,22,23,418
45,blue,230.93,966.80,-0.82,3.12,5.35,224,955,15,23,318
45,blue,1668.00,981.24,100.44,2.91,-20.08,1660,969,16,24,343
46,red,1015.94,237.87,56.73,-407.20,350.91,984,209,62,60,1347
46,red,225.46,771.74,-39.86,96.51,100.57,218,751,17,41,592
46,red,1000.20,794.00,53.14,83.27,79.80,979,778,41,36,1053
46,blue,563.14,769.34,0.10,100.07,97.43,554,758,20,22,362
46,blue,1395.57,773.98,100.05,100.21,84.52,1385,762,23,23,420
46,blue,231.14,966.90,-0.79,3.09,5.29,224,955,16,23,327
46,blue,1668.14,981.19,100.45,2.92,-20.06,1661,969,15,24,334
47,red,1012.84,239.16,57.17,-408.62,350.32,981,210,62,61,1359
47,red,225.33,771.91,-39.81,96.37,100.49,218,751,17,42,587
47,red,999.35,794.17,53.05,83.15,79.73,978,778,42,37,1055
47,blue,562.98,769.24,0.06,100.15,97.48,554,758,20,22,363
47,blue,1395.52,773.88,100.06,100.28,84.56,1385,762,23,23,422
47,blue,230.86,966.77,-0.83,3.13,5.36,224,955,15,23,315
47,blue,1668.06,981.23,100.44,2.91,-20.08,1660,969,16,24,340
48,red,1010.13,239.76,57.55,-409.27,350.07,978,211,63,60,1366
48,red,225.45,771.70,-39.87,96.54,100.59,218,751,17,41,591
48,red,999.23,794.24,53.04,83.10,79.70,978,778,42,37,1048
48,blue,562.98,769.28,0.07,100.11,97.46,554,758,20,22,360
48,blue,1395.69,773.97,100.07,100.22,84.52,1385,762,23,23,423
48,blue,231.14,966.90,-0.79,3.09,5.29,224,955,16,23,327
48,blue,1668.26,981.18,100.46,2.93,-20.06,1661,969,15,24,331
49,red,1007.67,239.68,57.90,-409.17,350.14,976,210,63,62,1389
49,red,225.44,771.62,-39.90,96.61,100.63,218,751,17,41,588
49,red,998.94,794.13,53.00,83.18,79.76,978,778,41,37,1049
49,blue,563.03,769.28,0.07,100.11,97.46,554,758,20,22,365
49,blue,1395.30,773.88,100.03,100.29,84.57,1385,762,22,23,418
49,blue,231.12,966.87,-0.80,3.10,5.31,224,955,16,23,328
49,blue,1667.97,981.27,100.43,2.90,-20.10,1660,969,16,24,343
50,red,1005.63,238.75,58.17,-408.13,350.62,974,209,64,62,1418
50,red,225.45,771.51,-39.93,96.69,100.69,218,751,17,41,588
50,red,998.86,793.92,52.99,83.33,79.86,977,778,42,37,1062
50,blue,562.98,769.26,0.06,100.13,97.47,554,758,20,22,365
50,blue,1395.29,773.85,100.04,100.31,84.59,1385,762,22,23,420
50,blue,231.11,966.84,-0.80,3.11,5.32,224,955,16,23,329
