frame,color,cx,cy,x,y,w,h,area
17,blue,228.57,887.61,224,877,9,19,127
18,red,832.83,205.06,800,163,65,82,2862
18,red,863.29,292.89,852,287,23,12,122
18,red,862.23,313.66,856,309,15,11,119
18,red,929.27,392.11,909,347,39,89,1953
18,red,730.69,462.42,718,378,24,140,1592
18,red,897.07,454.29,894,451,8,7,42
18,red,887.00,488.33,885,483,6,10,45
18,red,906.93,666.05,867,601,69,135,5593
18,red,806.47,684.73,785,611,45,155,5556
18,red,812.40,792.73,804,788,19,10,78
18,blue,553.26,684.68,542,672,23,25,490
18,blue,1392.11,689.02,1381,677,23,24,441
18,blue,228.57,887.61,224,877,9,19,127
19,red,829.44,206.41,796,164,65,82,2786
19,red,864.60,294.64,856,290,17,9,88
19,red,858.49,314.11,852,309,15,11,123
19,red,929.12,400.05,904,347,43,107,2222
19,red,727.61,462.51,716,378,22,141,1533
19,red,905.65,666.57,866,600,70,137,5690
19,red,805.66,685.15,784,610,45,156,5601
19,red,813.21,792.37,805,788,18,10,98
19,blue,553.24,684.60,542,672,23,25,492
19,blue,1392.26,689.00,1381,677,23,24,435
19,blue,228.57,887.61,224,877,9,19,127
20,red,824.95,208.10,792,167,65,80,2781
20,red,855.11,294.21,844,289,23,11,116
20,red,854.41,315.19,847,310,16,11,126
20,red,929.58,407.87,912,348,33,123,2441
20,red,724.49,463.63,713,377,23,142,1507
20,red,903.58,456.30,897,448,12,15,97
20,red,904.15,666.67,864,600,70,138,5775
20,red,804.85,685.25,782,610,45,156,5610
20,red,1441.50,701.00,1435,700,14,3,42
20,red,812.95,792.47,804,788,19,10,110
20,blue,553.45,684.52,542,672,23,25,480
20,blue,1392.11,689.02,1380,677,24,24,440
20,blue,228.57,887.61,224,877,9,19,127
20,blue,1668.65,898.35,1667,893,4,11,40
21,red,820.87,210.05,788,169,65,79,2766
21,red,851.69,296.28,841,291,22,11,112
21,red,850.88,316.95,845,312,14,11,112
21,red,927.23,421.73,898,349,46,138,3176
21,red,721.30,464.63,710,379,23,142,1492
21,red,902.70,667.06,861,600,72,138,5780
21,red,804.01,685.41,781,610,45,156,5640
21,red,812.23,792.77,804,789,18,9,95
21,blue,553.55,684.77,543,672,22,25,467
21,blue,1392.30,689.04,1381,677,23,24,444
21,blue,228.57,887.61,224,877,9,19,127
21,blue,1668.53,898.12,1667,893,4,11,43
22,red,816.76,212.20,783,172,65,78,2737
22,red,848.72,298.16,837,293,24,11,119
22,red,847.98,318.81,842,314,14,11,109
22,red,927.08,426.62,904,350,39,145,3389
22,red,887.27,384.10,885,369,6,29,105
22,red,718.26,464.53,707,377,22,146,1510
22,red,900.74,667.13,859,601,72,137,5788
22,red,803.36,685.74,780,611,45,155,5594
22,red,811.75,792.81,804,789,18,9,110
22,blue,553.60,684.61,543,672,22,25,469
22,blue,1392.29,689.09,1381,677,23,24,445
22,blue,228.53,887.87,224,878,9,18,124
22,blue,1668.53,898.12,1667,893,4,11,43
23,red,812.66,214.20,779,175,65,77,2722
23,red,847.73,299.86,835,295,25,10,139
23,red,846.61,320.81,840,316,15,11,118
23,red,925.93,430.53,904,350,38,149,3559
23,red,887.74,385.70,881,369,14,36,244
23,red,716.10,464.78,704,382,27,143,1718
23,red,897.91,665.48,857,601,72,135,5798
23,red,802.99,685.86,780,612,45,154,5604
23,red,811.70,793.27,804,789,18,10,110
23,blue,553.61,684.76,543,672,22,25,465
23,blue,1392.33,689.16,1381,677,23,24,447
23,blue,228.53,887.87,224,878,9,18,124
23,blue,1668.57,898.21,1667,893,4,11,42
24,red,808.85,214.61,776,174,63,79,2688
24,red,836.81,297.74,833,295,8,6,43
24,red,850.45,301.65,842,297,17,9,93
24,red,846.14,321.54,839,317,16,11,121
24,red,924.89,432.39,902,349,39,152,3635
24,red,888.29,384.88,880,365,16,47,334
